time,stock_code,current_price,volume,ma5,rsi14,disparity,stoch_k,stoch_d,vol_ratio,z_vol,obv_delta,spread,bid_ask_imbalance,accel_delta,ret_1s,ask1,ask2,ask3,ask4,ask5,bid1,bid2,bid3,bid4,bid5,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,indiv_net_vol,foreign_net_vol,inst_net_vol,pension_net_vol,trust_net_vol,insurance_net_vol,private_fund_net_vol,bank_net_vol,state_net_vol,other_net_vol,prog_net_vol
1756771219640,322780,1566.0,4627,1566.0,50.0,100.0,nan,nan,1.0,0.0,0.0,1.0,0.021075171869717118,0.0,0.0,1566.0,1570.0,1582.0,0.0,0.0,1565.0,1551.0,1550.0,0.0,0.0,4018,31,294,0,0,4335,1,194,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771219642,322780,1565.0,4642,1565.5,50.0,99.96806132226126,nan,nan,1.0016182975509764,0.0,-4642.0,1.0,0.021075171869717118,0.0,-31.928480204342275,1566.0,1570.0,1582.0,0.0,0.0,1565.0,1551.0,1550.0,0.0,0.0,4018,31,294,0,0,4335,1,194,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771219644,322780,1565.0,5663,1565.3333333333333,50.0,99.9787052810903,nan,nan,1.1377578355210287,0.0,0.0,1.0,0.021075171869717118,75.0,-15.964240102171138,1566.0,1570.0,1582.0,0.0,0.0,1565.0,1551.0,1550.0,0.0,0.0,4018,31,294,0,0,4335,1,194,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771219645,322780,1565.0,8962,1565.25,50.0,99.98402811052549,nan,nan,1.5002929605758768,0.0,0.0,1.0,0.021075171869717118,52.5,-12.77139208173691,1566.0,1570.0,1582.0,0.0,0.0,1565.0,1551.0,1550.0,0.0,0.0,4018,31,294,0,0,4335,1,194,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220652,322780,1551.0,8963,1562.4,50.0,99.27035330261135,nan,nan,1.363940712785708,0.0,-8963.0,13.0,-0.26766374419804023,32.583333333333336,0.0,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220653,322780,1550.0,9094,1559.2,50.0,99.40995382247306,nan,nan,1.3006602941527021,0.0,-9094.0,13.0,-0.26766374419804023,26.677380952380954,-64.47453255963894,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220654,322780,1551.0,9210,1556.4,50.0,99.65304548959136,nan,nan,1.2601395594300346,0.0,9210.0,13.0,-0.26766374419804023,318.6741666666667,0.0,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220655,322780,1550.0,9273,1553.4,50.0,99.7811252735934,nan,nan,1.2275209319257372,0.0,-9273.0,13.0,-0.26766374419804023,-76.92808333333335,-21.49151085321298,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220655,322780,1549.0,9574,1550.2,50.0,99.92259063346664,nan,nan,1.2308021940349674,0.0,-9574.0,13.0,-0.26766374419804023,-53.84965833333334,-42.98302170642596,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220835,322780,1551.0,9618,1550.2,50.0,100.05160624435557,nan,nan,1.2078969180920804,0.8347144423464459,9618.0,13.0,-0.26766374419804023,-32.69476083333333,0.0,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220837,322780,1551.0,9813,1550.4,50.0,100.03869969040247,nan,nan,1.2068896119142656,0.856376816673927,0.0,13.0,-0.26766374419804023,-26.183035880036627,0.0,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220854,322780,1548.0,11755,1549.8,50.0,99.88385598141696,nan,nan,1.3939561634088977,1.559121455017643,-11755.0,13.0,-0.26766374419804023,-65.69654616865722,-0.957542562766915,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220855,322780,1548.0,11971,1549.4,50.0,99.90964244223571,nan,nan,1.3751866743251004,1.4490636024641357,0.0,13.0,-0.26766374419804023,4.012417681939958,-0.9528256043296395,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220858,322780,1546.0,11972,1548.8,50.0,99.81921487603306,0.0,nan,1.339396021959932,1.3024608883927689,-11972.0,13.0,-0.26766374419804023,-147.19130762264203,-1.5649158388261881,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771220862,322780,1541.0,11992,1546.8,9.677419354401664,99.62503232479959,0.0,nan,1.3117575421683234,1.1997184870671154,-11992.0,13.0,-0.26766374419804023,-231.60534390727798,-3.0702158361732828,1564.0,1566.0,1570.0,1582.0,1585.0,1551.0,1550.0,1549.0,1548.0,1546.0,2,4018,31,294,571,1,194,486,2158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771223784,322780,1541.0,11992,1544.8,9.99999999953333,99.75401346452615,0.0,0.0,1.2866866504382348,1.1126540470507735,0.0,9.0,-0.5572080446172046,-161.61109548560722,0.0,1550.0,1551.0,1563.0,1564.0,1566.0,1541.0,1540.0,1530.0,1529.0,1528.0,116,451,20,2,4018,1106,100,102,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771224572,322780,1550.0,12002,1545.2,30.769230768126235,100.3106393994305,36.0,12.0,1.2663244850207607,1.045787379478108,12002.0,9.0,-0.5572080446172046,-112.40000403669055,0.7411628680697154,1550.0,1551.0,1563.0,1564.0,1566.0,1541.0,1540.0,1530.0,1529.0,1528.0,116,451,20,2,4018,1106,100,102,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771225233,322780,1541.0,12003,1543.8,24.999999999270827,99.81862935613421,0.0,12.0,1.247958134537851,0.9871548870386805,-12003.0,9.0,-0.5564584391400034,-82.40671090021753,-0.8784344346298375,1550.0,1551.0,1563.0,1564.0,1566.0,1541.0,1540.0,1530.0,1529.0,1528.0,106,451,20,2,4018,1106,100,102,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771243782,322780,1550.0,12109,1544.6,48.83720930073553,100.34960507574777,36.0,24.0,1.2420492887413286,0.9765839059418943,12109.0,9.0,-0.3595621949415767,-57.40359403827304,0.0,1550.0,1551.0,1563.0,1564.0,1566.0,1541.0,1540.0,1530.0,1529.0,1528.0,106,451,20,2,4017,1661,400,102,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771243783,322780,1550.0,12203,1546.4,49.99999999833333,100.2327987584066,36.0,24.0,1.2361348879141807,0.965202128014671,0.0,9.0,-0.3595621949415767,-40.32806838743802,0.0,1550.0,1551.0,1563.0,1564.0,1566.0,1541.0,1540.0,1530.0,1529.0,1528.0,106,451,20,2,4017,1661,400,102,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771243784,322780,1551.0,12608,1548.4,49.99999999833333,100.16791526737276,40.0,37.333333333333336,1.2275398088784386,1.0732802142792779,12608.0,9.0,-0.3595621949415767,121.77035212879339,32.25806451612903,1550.0,1551.0,1563.0,1564.0,1566.0,1541.0,1540.0,1530.0,1529.0,1528.0,106,451,20,2,4017,1661,400,102,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
